,Id
699,8560
327,7920
210,8993
14,8126
413,9912
428,1653
585,9437
561,8657
214,3585
630,2756
31,9820
434,9564
644,9633
665,1341
103,3711
592,9312
306,2027
432,2294
222,7585
419,8733
650,5210
175,8864
312,4947
698,7390
27,4347
605,5087
531,1234
749,1183
689,7484
534,3347
145,4829
467,9550
55,3914
612,8468
397,3749
417,7937
150,2471
85,8252
652,6415
40,3128
279,5754
691,1704
408,8269
75,5406
193,6845
8,9678
625,3168
293,3789
363,2495
247,6215
283,3649
435,6027
399,7157
354,1515
588,2718
406,6530
483,7436
172,1435
79,9451
1,4804
504,2746
476,4994
642,5708
674,5621
366,1367
392,5616
481,6826
497,3666
375,9211
364,3544
774,9937
727,9885
156,3114
635,2076
563,1383
626,6849
770,9262
673,9889
235,8404
313,1458
764,9190
719,9161
566,9267
593,9101
449,4100
671,7056
628,8981
722,2215
458,5970
501,1159
18,3269
252,2834
263,7416
761,2805
181,6099
487,3763
50,5547
249,1277
122,9089
564,2454
162,1872
39,1914
570,3783
402,1897
239,6152
10,5408
113,4612
68,8949
664,7947
582,2201
362,5960
384,4515
345,8659
2,6045
772,5251
717,6418
556,6426
365,4591
403,4923
713,5942
609,5794
267,5308
380,3629
721,5666
255,1976
489,5190
204,1579
737,2851
706,1938
196,4506
500,6689
390,3866
718,4869
71,6200
49,3984
266,3345
142,4740
535,6483
37,8769
231,9589
48,3296
546,8526
317,6571
346,7583
751,8366
647,3568
76,9453
64,8927
620,1640
52,8545
318,9444
602,6399
494,7870
352,7965
240,8947
303,9774
518,2854
272,3940
118,4796
12,2132
157,7864
587,2670
367,1532
202,5019
351,7553
636,9116
97,6367
572,1750
258,5957
748,1687
441,3386
294,3539
529,2029
533,6128
732,5364
634,6485
278,9860
17,8922
374,8853
271,9041
251,1681
576,1062
310,9547
716,3020
250,8205
170,3551
187,7723
703,6918
45,1886
356,9185
62,2905
78,9958
596,1154
771,3661
536,9538
140,3458
198,5511
319,7022
553,6088
127,2096
236,2348
779,6620
395,6258
144,8022
573,8499
21,8312
619,9056
418,7500
35,2900
491,2121
159,9913
316,5204
77,4405
412,9756
540,1715
109,7234
242,9179
451,1895
101,7622
773,5981
517,5435
92,6532
558,9419
230,5182
302,8343
731,1255
766,4573
767,3919
241,3249
